2026-01-20 11:39:07,466 | __main__ | INFO | ÉTAPE 3 : CLASSIFICATION & EXTRACTION
2026-01-20 11:39:07,467 | __main__ | INFO | ===========================================================================
2026-01-20 11:39:07,467 | news_classifier | INFO | 📥 Chargement modèle: distilbert-base-multilingual-uncased...
2026-01-20 11:39:07,632 | news_classifier | ERROR | ❌ Erreur chargement modèle: distilbert-base-multilingual-uncased is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `hf auth login` or by passing `token=<your_token>`
2026-01-20 11:39:07,774 | news_classifier | WARNING | ⚠️ Sentiment classifier: Your currently installed version of Keras is Keras 3, but this is not yet supported in Transformers. Please install the backwards-compatible tf-keras package with `pip install tf-keras`.
2026-01-20 11:39:07,775 | news_classifier | INFO | 🤖 Classification 63 articles...
2026-01-20 11:39:07,775 | news_classifier | INFO |   ✓ 10/63 articles
2026-01-20 11:39:07,775 | news_classifier | INFO |   ✓ 20/63 articles
2026-01-20 11:39:07,776 | news_classifier | INFO |   ✓ 30/63 articles
